image_id,caption_id,cap,extended_cap
1119015538_e8e796281e.jpg,416106657_cab2a107a5.jpg#2,A white dog runs in the grass .,"A white dog runs in the grass, energetic, playful, domestic animal, sunny, outdoors, greenery."
3540416981_4e74f08cbb.jpg,416106657_cab2a107a5.jpg#2,A white dog runs in the grass .,"A white dog runs in the grass, energetic, playful, domestic animal, sunny, outdoors, greenery."
3613800013_5a54968ab0.jpg,416106657_cab2a107a5.jpg#2,A white dog runs in the grass .,"A white dog runs in the grass, energetic, playful, domestic animal, sunny, outdoors, greenery."
512101751_05a6d93e19.jpg,416106657_cab2a107a5.jpg#2,A white dog runs in the grass .,"A white dog runs in the grass, energetic, playful, domestic animal, sunny, outdoors, greenery."
1131932671_c8d17751b3.jpg,1131932671_c8d17751b3.jpg#2,A boy jumps from one bed to another .,"A boy jumps from one bed to another, youth, playful, energetic, bedroom, mattresses, fun, acrobatic."
115684808_cb01227802.jpg,115684808_cb01227802.jpg#2,Three people and a sled .,"Three people and a sled, winter, snow, chilly, team work, fun, sledding."
1174629344_a2e1a2bdbf.jpg,1174629344_a2e1a2bdbf.jpg#2,A group of people walking a city street in warm weather .,"A group of people walking a city street in warm weather, pedestrians, urban scene, bustling, summer day, sunshine, sidewalk cafes, colorful buildings."
1322323208_c7ecb742c6.jpg,1322323208_c7ecb742c6.jpg#2,"Two children , one of which is holding a stick , are standing on the beach as the sun begins to set .","Two children , one of which is holding a stick , are standing on the beach as the sun begins to set"
1402640441_81978e32a9.jpg,2844641033_dab3715a99.jpg#2,A boy plays in the sand .,"A boy plays in the sand, beach, smiling, sun, waves, sandcastle, shovel, pail, sunglasses."
1425069308_488e5fcf9d.jpg,1425069308_488e5fcf9d.jpg#2,A white dog jumps to catch a blue ball in a living room .,"A white dog jumps to catch a blue ball in a living room, playful, energetic, furry, pet, domestic, carpeted floor."
1433142189_cda8652603.jpg,3745451546_fc8ec70cbd.jpg#2,A person is hiking to the top of a hill .,"A person is hiking to the top of a hill, trekking, outdoor activity, nature walk, mountain climbing, ascending, exercise, breathtaking view."
143688283_a96ded20f1.jpg,3320356356_1497e53f80.jpg#2,A man scales a rock in the forest .,"A man scales a rock in the forest, rock-climbing, adventurer, wilderness, outdoor, nature, trees, mountains, peak, challenge, thrill."
2343525685_3eba3b6686.jpg,3320356356_1497e53f80.jpg#2,A man scales a rock in the forest .,"A man scales a rock in the forest, rock-climbing, adventurer, wilderness, outdoor, nature, trees, mountains, peak, challenge, thrill."
1446053356_a924b4893f.jpg,1446053356_a924b4893f.jpg#2,Two girls in soccer strips are playing on a sports field .,"Two girls in soccer strips are playing on a sports field, kicking a ball, teamwork, competition, athleticism, exercise, green grass, goal posts."
1467533293_a2656cc000.jpg,1467533293_a2656cc000.jpg#2,"Two little girls , both dressed in pink , play on the jungle gym .","Two little girls , both dressed in pink , play on the jungle gym"
1472230829_803818a383.jpg,1472230829_803818a383.jpg#2,Rafting boat on river .,"Rafting boat on river, adrenaline, white water, adventure, paddles, team-building, outdoors, rapids, helmets, life jackets."
150387174_24825cf871.jpg,150387174_24825cf871.jpg#2,A man is riding a dirt bike over some rocks .,A man is riding a dirt bike over some rocks
3609032038_005c789f64.jpg,150387174_24825cf871.jpg#2,A man is riding a dirt bike over some rocks .,A man is riding a dirt bike over some rocks
150387174_24825cf871.jpg,3609032038_005c789f64.jpg#2,A motocross bike is being ridden over rocks .,"A motocross bike is being ridden over rocks, dirt, extreme sport, adrenaline, bumpy terrain, rugged, off-road, adventure."
1517721825_10176d0683.jpg,1517721825_10176d0683.jpg#2,Three dogs running through water .,"Three dogs running through water, canines, playful, joyful, splashing, wet fur, river, outdoors, summertime."
1523984678_edd68464da.jpg,1119015538_e8e796281e.jpg#2,A small dogs ears stick up as it runs in the grass .,A small dogs ears stick up as it runs in the grass
