storylet_id,story_id,image_id,image_url,original_text
227650,45530,1741642,https://farm1.staticflickr.com/2/1741642_81837e8e9e_o.jpg,The local parish holds a craft show each year.
227651,45530,1741640,https://farm1.staticflickr.com/2/1741640_2a4e2ee734_o.jpg,Lots of folks come out and set up tables to sell their crafts.
227652,45530,1741632,https://farm1.staticflickr.com/2/1741632_e693ce585e_o.jpg,Some of these crafts are very unique and take a lot of talent to make.
227653,45530,1741622,https://farm1.staticflickr.com/2/1741622_15ccba2889_o.jpg,Folks of all ages come out to peruse the crafts for sale.
227654,45530,1741587,https://farm1.staticflickr.com/2/1741587_4dec43b3a3_o.jpg,Some of the crafters even dress up in unique costumes as part of their selling act.
227655,45531,1741625,https://farm1.staticflickr.com/2/1741625_9e755e9105_o.jpg,I was so excited to be heading to the crafts fair. 
227656,45531,1741640,https://farm1.staticflickr.com/2/1741640_2a4e2ee734_o.jpg,When I arrived I saw a great booth with a variety of great crafts.
227657,45531,1741639,https://farm1.staticflickr.com/2/1741639_fbc2df1afa_o.jpg,I stopped at chatted at my friend Beth's booth for a bit. 
227658,45531,1741633,https://farm1.staticflickr.com/2/1741633_3aa75c73c6_o.jpg,There were even booths set up for all of the kids. 
227659,45531,1741630,https://farm1.staticflickr.com/2/1741630_2f3a758de7_o.jpg,"I found some awesome crafts at the fair, I'm really happy that I went. "
227660,45532,1741642,https://farm1.staticflickr.com/2/1741642_81837e8e9e_o.jpg,"The church is old, but it has a nice history."
227661,45532,1741640,https://farm1.staticflickr.com/2/1741640_2a4e2ee734_o.jpg,They display this history during the afternoon.
227662,45532,1741632,https://farm1.staticflickr.com/2/1741632_e693ce585e_o.jpg,Some books even talk about Africa.
227663,45532,1741622,https://farm1.staticflickr.com/2/1741622_15ccba2889_o.jpg,The older members of the church remember these things.
227664,45532,1741587,https://farm1.staticflickr.com/2/1741587_4dec43b3a3_o.jpg,It makes them sad.
227665,45533,1741625,https://farm1.staticflickr.com/2/1741625_9e755e9105_o.jpg,The people arrived to get ready for the craft fair.
227666,45533,1741640,https://farm1.staticflickr.com/2/1741640_2a4e2ee734_o.jpg,The various merchants set up their booths.
227667,45533,1741639,https://farm1.staticflickr.com/2/1741639_fbc2df1afa_o.jpg,The different merchants got together to talk before people began to arrive.
227668,45533,1741633,https://farm1.staticflickr.com/2/1741633_3aa75c73c6_o.jpg,Even the kids got to make some crafts.
227669,45533,1741630,https://farm1.staticflickr.com/2/1741630_2f3a758de7_o.jpg,Everyone is set up and ready for the craft fair.
227670,45534,1741642,https://farm1.staticflickr.com/2/1741642_81837e8e9e_o.jpg,The annual Victorian craft fair was hosted at The Parish Church of St. Andrew and St George again this year.
227671,45534,1741640,https://farm1.staticflickr.com/2/1741640_2a4e2ee734_o.jpg,Vendors came from all over the state to show off their crafts.
227672,45534,1741632,https://farm1.staticflickr.com/2/1741632_e693ce585e_o.jpg,There was a large variety of pictures and decor.
227673,45534,1741622,https://farm1.staticflickr.com/2/1741622_15ccba2889_o.jpg,Even Mr Thomas made an appearance.
227674,45534,1741587,https://farm1.staticflickr.com/2/1741587_4dec43b3a3_o.jpg,He brought along one of his bird toys to wow the visitors. Everyone always loves him.
